instance_name,num_nodes,solver_cost,optimal_cost,gap_percent,total_time,status
EUC_2D_103,100,-1.0,3.1334779145600096,,0.022641897201538086,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_104,100,-1.0,2.9337130532976556,,0.02277231216430664,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_105,100,-1.0,3.287511275290308,,0.024183988571166992,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_106,100,-1.0,3.4242354278865914,,0.0246734619140625,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_107,100,-1.0,3.1588999927668993,,0.023402929306030273,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_108,100,-1.0,3.2227164160175557,,0.02240610122680664,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_109,100,-1.0,2.697283396076136,,0.024089574813842773,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_110,100,-1.0,2.909249172665536,,0.022279024124145508,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_111,100,-1.0,2.349961638039473,,0.02360391616821289,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_112,100,-1.0,2.671182571407255,,0.02226996421813965,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_113,100,-1.0,2.384405482069228,,0.023876667022705078,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_114,100,-1.0,2.7309367099975153,,0.02323460578918457,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_115,100,-1.0,2.7387637341086712,,0.025236129760742188,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_116,100,-1.0,3.023167466082024,,0.02212810516357422,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_117,100,-1.0,3.260227153549792,,0.021869897842407227,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_118,100,-1.0,3.294399034838521,,0.023344039916992188,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_119,100,-1.0,2.687936873812757,,0.02515864372253418,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_120,100,-1.0,2.7685120836320762,,0.026122093200683594,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_121,100,-1.0,2.6609065693022624,,0.024550676345825195,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_122,100,-1.0,3.00456801591462,,0.02565455436706543,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_123,100,-1.0,3.0997496037967234,,0.023766517639160156,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_124,100,-1.0,2.972033417918489,,0.023859262466430664,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_125,100,-1.0,2.679406374131339,,0.023040771484375,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_126,100,-1.0,2.217609837804254,,0.02536320686340332,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_127,100,-1.0,3.097969759572349,,0.021504640579223633,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_128,100,-1.0,3.2459264908193113,,0.02400970458984375,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_129,100,-1.0,2.9617191808563414,,0.022510051727294922,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_130,100,-1.0,2.4344124246965984,,0.022204875946044922,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_131,100,-1.0,3.1968499893846243,,0.022607803344726562,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_132,100,-1.0,2.731996244323327,,0.02239537239074707,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_133,100,-1.0,2.981508872165353,,0.022175312042236328,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_134,100,-1.0,2.9161119090324097,,0.02255558967590332,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_135,100,-1.0,2.1135563965790807,,0.02250957489013672,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_136,100,-1.0,3.1251664214499892,,0.022401809692382812,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_137,100,-1.0,2.5817076399529997,,0.026462554931640625,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_138,100,-1.0,2.7506684988284142,,0.02594470977783203,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_139,100,-1.0,2.6950294494619094,,0.022493362426757812,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_140,100,-1.0,2.7742807734412693,,0.022288799285888672,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_141,100,-1.0,2.5262748916639968,,0.022135496139526367,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_142,100,-1.0,3.076099460387811,,0.02283930778503418,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_143,100,-1.0,2.7540365218514755,,0.024286270141601562,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_144,100,-1.0,2.8436455914534644,,0.0220792293548584,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_145,100,-1.0,2.7518796287738896,,0.02409815788269043,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_146,100,-1.0,2.9110838280401174,,0.0248563289642334,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_147,100,-1.0,2.533462185323883,,0.022390365600585938,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_148,100,-1.0,2.425333746674592,,0.022600889205932617,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_149,100,-1.0,3.0895797860142125,,0.023841381072998047,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_150,100,-1.0,2.7211580682494323,,0.025609970092773438,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_151,100,-1.0,2.7888294773269524,,0.022235631942749023,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_152,100,-1.0,3.1734638009674905,,0.0224151611328125,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_153,100,-1.0,2.9282682140703087,,0.06714749336242676,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_154,100,-1.0,2.950418812121941,,0.025458097457885742,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_155,100,-1.0,2.2506943833552597,,0.02516031265258789,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_156,100,-1.0,2.59981410300425,,0.02817845344543457,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_157,100,-1.0,2.967555125627836,,0.027298927307128906,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_158,100,-1.0,3.0792906546867846,,0.022844314575195312,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_159,100,-1.0,2.778511211952792,,0.0235440731048584,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_160,100,-1.0,3.0098148780074667,,0.022782325744628906,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_161,100,-1.0,2.714885497043415,,0.021667003631591797,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_162,100,-1.0,2.552836183458545,,0.023384571075439453,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_163,100,-1.0,2.908572992545036,,0.022284746170043945,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_164,100,-1.0,2.4888435886275633,,0.02276611328125,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_165,100,-1.0,2.938207726921375,,0.022551298141479492,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_166,100,-1.0,3.202779124742197,,0.022910594940185547,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_167,100,-1.0,2.879372678372042,,0.02310943603515625,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_168,100,-1.0,3.277878751439826,,0.02377152442932129,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_169,100,-1.0,3.0352116881298223,,0.022268295288085938,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_170,100,-1.0,3.284268435784528,,0.022345781326293945,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_171,100,-1.0,2.7940251550781623,,0.02462291717529297,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
EUC_2D_172,100,-1.0,2.5451786570941715,,0.022399187088012695,FAILED: Compiler not found. Ensure MinGW (g++) is installed.
